pH,turbidity_NTU,temperature_C,DO_mg_L,conductivity_uS_cm,TDS_mg_L
4.189,28.134,40.0,1.152,4746.01,3322.207
7.799,5.021,37.58,4.401,2355.28,1648.6960000000001
7.901,11.291,35.94,3.02,1903.22,1332.254
8.13,13.96,29.74,2.682,1533.96,1073.772
3.037,33.202,23.77,1.866,4855.42,3398.794
7.245,6.983,38.9,3.637,2167.87,1517.5089999999998
11.669,47.155,28.75,1.553,7751.2,5425.839999999999
7.723,32.926,22.93,2.592,1737.02,1215.914
7.224,4.277,26.5,6.66,527.47,369.229
7.449,17.827,26.99,3.247,2542.74,1779.9179999999997
6.5,3.157,24.22,6.021,879.41,615.587
7.11,1.403,31.18,7.285,972.4,680.68
7.864,6.197,32.44,2.968,1650.97,1155.6789999999999
7.0,9.42,34.38,5.645,3116.08,2181.256
8.565,12.836,25.0,5.291,1893.01,1325.107
7.927,6.652,35.03,2.709,2463.5,1724.4499999999998
3.813,20.0,29.91,1.608,6591.2,4613.839999999999
11.678,39.978,26.34,2.197,6360.18,4452.126
7.302,3.24,25.58,5.351,729.05,510.3349999999999
7.863,10.148,36.81,2.0,1000.0,700.0
8.688,18.174,29.9,2.308,632.61,442.827
7.7,5.624,32.28,2.629,1000.0,700.0
6.596,20.512,24.95,3.82,1368.14,957.698
7.155,11.695,30.55,3.527,500.0,350.0
6.946,5.819,23.41,7.736,1224.53,857.1709999999999
8.049,12.245,32.48,4.141,1725.51,1207.857
3.487,35.003,23.5,1.328,3547.5,2483.25
7.503,10.448,33.08,3.803,2737.61,1916.327
3.626,34.171,29.22,1.502,3522.58,2465.8059999999996
6.968,2.512,28.94,6.533,758.66,531.0619999999999
2.519,57.221,25.99,1.424,3227.01,2258.907
7.369,5.131,26.2,7.426,1000.16,700.112
7.433,6.998,34.6,3.879,2511.61,1758.127
8.148,20.083,33.56,2.424,569.95,398.96500000000003
7.743,11.192,35.09,4.494,2751.35,1925.9449999999997
7.979,7.366,34.56,4.969,2920.08,2044.0559999999998
12.587,20.0,34.25,1.769,4054.65,2838.255
3.21,35.479,17.87,0.865,4170.61,2919.4269999999997
7.62,19.396,23.68,4.568,500.0,350.0
2.475,70.625,31.57,0.725,5915.35,4140.745
8.808,17.641,29.7,3.82,1069.72,748.804
2.405,75.648,20.53,1.211,5805.77,4064.039
9.093,40.879,24.35,4.373,2332.41,1632.687
3.292,65.439,28.01,0.28,6128.72,4290.104
7.969,5.325,32.18,2.0,1150.27,805.189
12.582,46.592,29.29,1.429,4895.22,3426.654
3.321,40.041,29.7,1.124,3000.0,2100.0
6.932,4.401,27.23,7.438,1409.99,986.9929999999999
11.56,54.695,33.49,0.606,4993.79,3495.653
6.0,21.361,18.88,2.613,817.46,572.222
8.124,4.767,24.28,7.023,684.35,479.04499999999996
10.146,62.532,22.21,0.476,4788.27,3351.789
8.323,7.012,37.08,3.984,1000.0,700.0
7.169,2.273,28.57,6.305,917.41,642.1869999999999
6.964,0.742,25.08,6.997,200.0,140.0
7.106,3.765,21.41,5.361,722.29,505.60299999999995
7.605,3.0,28.21,4.501,2648.43,1853.9009999999998
3.042,56.41,30.02,1.363,6132.78,4292.946
6.896,23.703,30.08,2.662,1415.3,990.7099999999999
3.276,48.954,36.48,0.202,7708.5,5395.95
7.557,22.8,24.43,2.264,1611.78,1128.2459999999999
3.741,53.425,24.88,0.949,5765.38,4035.7659999999996
7.625,1.6,27.3,6.652,792.11,554.477
8.133,6.0,29.92,2.585,2325.4,1627.78
7.194,2.075,24.34,6.196,928.6,650.02
8.875,3.0,37.31,4.184,2423.76,1696.632
2.188,52.457,31.94,1.287,6145.85,4302.095
6.961,3.393,26.47,6.397,1127.04,788.9279999999999
7.431,4.105,24.32,6.266,960.7,672.49
7.587,4.087,25.97,7.035,1186.59,830.6129999999999
7.34,3.251,25.37,5.85,764.65,535.255
6.315,28.657,27.07,3.521,2585.79,1810.0529999999999
7.256,10.761,32.11,2.396,835.78,585.0459999999999
7.546,11.895,39.29,4.503,1431.1,1001.7699999999999
2.132,45.282,23.91,1.048,6186.71,4330.697
7.258,7.901,29.34,3.992,1073.45,751.415
2.755,70.152,31.02,1.468,3000.0,2100.0
7.758,13.531,31.67,3.344,1282.72,897.904
4.155,52.238,33.21,1.846,6360.25,4452.174999999999
7.18,0.5,27.52,6.332,807.46,565.222
6.0,6.0,24.16,4.375,2112.92,1479.0439999999999
7.275,2.012,26.05,7.169,1261.8,883.2599999999999
7.976,11.472,25.26,4.315,1772.01,1240.407
6.709,5.183,25.24,6.028,1500.0,1050.0
2.867,43.337,29.13,0.404,4366.15,3056.3049999999994
7.434,14.057,27.82,4.607,1547.4,1083.18
6.517,12.941,21.37,3.82,1653.97,1157.779
6.692,5.377,24.49,7.218,877.82,614.474
8.307,15.207,25.93,3.303,2257.46,1580.222
13.651,23.498,29.2,1.607,5833.1,4083.17
10.083,57.299,34.22,2.135,4370.23,3059.1609999999996
7.78,1.063,24.19,5.0,445.66,311.962
7.682,1.003,24.37,6.352,1049.96,734.972
7.391,8.346,35.07,3.885,1101.03,770.7209999999999
8.023,11.203,36.01,4.193,2176.91,1523.8369999999998
2.0,85.711,32.07,0.843,3101.54,2171.078
7.263,10.936,26.04,4.551,2248.04,1573.628
11.761,33.778,29.64,1.449,4417.24,3092.0679999999998
7.122,6.761,28.56,4.603,1860.94,1302.658
6.944,5.106,26.62,7.621,690.97,483.679
7.4,8.819,28.22,3.921,561.73,393.211
7.924,44.66,26.4,2.103,500.0,350.0
6.646,13.542,28.09,3.255,500.0,350.0
13.176,39.037,26.43,1.115,4472.51,3130.757
6.5,4.707,25.64,5.174,1114.38,780.066
7.825,3.495,30.66,5.164,2197.3,1538.1100000000001
7.386,2.482,27.54,6.507,583.03,408.121
7.746,11.04,29.58,4.613,2299.57,1609.699
2.334,51.256,34.43,1.597,5860.34,4102.238
7.648,2.706,21.42,7.953,1394.84,976.3879999999999
3.249,45.891,27.69,1.818,7183.1,5028.17
7.382,24.107,33.07,2.233,2045.32,1431.724
3.155,48.11,26.05,0.961,5566.33,3896.4309999999996
6.846,10.737,22.4,4.269,1154.16,807.912
7.419,3.0,32.44,4.665,1525.55,1067.885
7.278,8.23,29.57,3.632,3066.46,2146.522
12.076,52.684,26.44,2.232,6765.81,4736.067
13.06,59.803,33.51,0.0,5689.46,3982.622
11.927,24.455,37.45,2.854,3000.0,2100.0
12.363,20.0,27.1,1.78,5696.48,3987.5359999999996
7.934,4.493,25.97,6.182,539.04,377.328
7.528,3.468,24.58,5.279,654.47,458.12899999999996
7.289,3.512,26.74,7.225,558.69,391.083
7.83,25.053,25.25,3.405,2075.83,1453.081
7.76,15.87,31.02,3.78,1652.14,1156.498
6.886,2.357,30.7,5.0,829.03,580.3209999999999
7.567,8.119,34.65,3.904,1740.03,1218.021
7.007,12.303,21.66,3.953,1520.17,1064.119
13.526,49.187,28.74,2.278,5973.72,4181.604
8.149,3.448,22.54,7.614,760.26,532.182
7.667,1.965,23.35,5.319,1371.91,960.337
3.014,28.813,31.87,2.459,4613.41,3229.3869999999997
8.328,27.012,33.39,4.09,2450.45,1715.3149999999998
7.38,6.746,31.96,3.199,1978.6,1385.0199999999998
8.007,7.893,38.91,4.049,3500.0,2450.0
7.2,0.5,23.82,7.902,841.59,589.1129999999999
7.047,3.501,31.19,3.914,2352.68,1646.8759999999997
6.984,0.552,21.68,7.313,754.93,528.4509999999999
7.436,3.057,22.48,6.172,738.35,516.845
7.041,3.435,21.84,5.147,863.19,604.233
6.511,25.754,30.98,4.322,500.0,350.0
7.176,4.714,31.86,4.582,1281.76,897.232
7.756,11.66,30.92,2.0,2426.01,1698.207
3.516,57.361,28.01,1.43,5679.83,3975.881
7.941,12.678,38.09,3.339,1621.04,1134.7279999999998
7.487,7.279,33.19,5.043,1000.0,700.0
3.211,26.209,29.23,1.245,4509.39,3156.573
7.754,6.101,21.33,5.992,1359.71,951.7969999999999
6.85,4.138,19.75,6.525,537.16,376.01199999999994
7.925,13.678,26.71,4.671,600.88,420.616
7.255,2.607,23.39,5.84,1266.92,886.844
3.467,55.687,26.59,0.462,6400.13,4480.090999999999
7.435,0.793,19.59,6.166,1420.48,994.3359999999999
8.473,3.0,25.0,5.728,1224.33,857.031
8.665,10.569,33.76,4.754,2425.17,1697.619
8.095,23.2,26.3,2.395,500.0,350.0
