pH,turbidity_NTU,temperature_C,DO_mg_L,conductivity_uS_cm,EC25_uS_cm,TDS_mg_L,reuse_label
4.189,28.134,40.0,1.152,4746.01,3650.776923076923,2555.543846153846,not_usable
7.799,5.021,37.58,4.401,2355.28,1881.815276446149,1317.2706935123042,irrigation
7.901,11.291,35.94,3.02,1903.22,1561.5523465703973,1093.086642599278,cooling
8.13,13.96,29.74,2.682,1533.96,1401.1326269638291,980.7928388746805,cooling
3.037,33.202,23.77,1.866,4855.42,4977.875743284806,3484.513020299364,not_usable
7.245,6.983,38.9,3.637,2167.87,1696.298904538341,1187.4092331768386,cooling
11.669,47.155,28.75,1.553,7751.2,7210.418604651163,5047.293023255814,not_usable
7.723,32.926,22.93,2.592,1737.02,1812.038389317755,1268.4268725224283,cooling
7.224,4.277,26.5,6.66,527.47,512.1067961165048,358.47475728155337,irrigation
7.449,17.827,26.99,3.247,2542.74,2445.412579342181,1711.7888055395265,cooling
6.5,3.157,24.22,6.021,879.41,893.34620073141,625.342340511987,irrigation
7.11,1.403,31.18,7.285,972.4,865.432538269847,605.8027767888929,irrigation
7.864,6.197,32.44,2.968,1650.97,1437.12569637883,1005.9879874651808,cooling
7.0,9.42,34.38,5.645,3116.08,2623.846412933648,1836.692489053553,cooling
8.565,12.836,25.0,5.291,1893.01,1893.01,1325.107,cooling
7.927,6.652,35.03,2.709,2463.5,2051.8907213060133,1436.3235049142093,cooling
3.813,20.0,29.91,1.608,6591.2,6001.821161901293,4201.274813330905,not_usable
11.678,39.978,26.34,2.197,6360.18,6194.176081028439,4335.923256719907,not_usable
7.302,3.24,25.58,5.351,729.05,720.6899960458678,504.4829972321074,irrigation
7.863,10.148,36.81,2.0,1000.0,808.9305937550558,566.251415628539,not_usable
8.688,18.174,29.9,2.308,632.61,576.1475409836066,403.30327868852464,cooling
7.7,5.624,32.28,2.629,1000.0,872.9050279329609,611.0335195530727,cooling
6.596,20.512,24.95,3.82,1368.14,1369.5095095095096,958.6566566566568,cooling
7.155,11.695,30.55,3.527,500.0,450.04500450045,315.031503150315,cooling
6.946,5.819,23.41,7.736,1224.53,1264.7490187977692,885.3243131584384,irrigation
8.049,12.245,32.48,4.141,1725.51,1500.965553235908,1050.6758872651355,cooling
3.487,35.003,23.5,1.328,3547.5,3657.216494845361,2560.0515463917527,not_usable
7.503,10.448,33.08,3.803,2737.61,2356.757920110193,1649.730544077135,cooling
3.626,34.171,29.22,1.502,3522.58,3248.4138694208777,2273.889708594614,not_usable
